Number, FamilySize, DIRECTLY_OWNED_LAND, RESIDENCE_LAND, SILVER, OBLIGATION, LABOR, AGRI_PRODUCE, TOWN_PRODUCT
0, 200, 436.2287725593011, 260.4511681609081, 4.108822432487592E7, 4530153.263769243, 0.0, 3819.4795686266552, 1408.666666666027
1, 7, 0.0, 9.98357755801893, 149550.0681971332, -29119.999569092666, 549.433947536083, 0.0, 7.920000000000342
2, 7, 0.0, 8.10878033022138, 101738.7511777085, -29119.999565060043, 549.4339472950427, 0.0, 7.920000000000342
3, 4, 0.0, 10.624215108730246, 94795.39401967691, -16639.99975580325, 313.9622558199451, 0.0, 10.239999999999084
5, 6, 0.0, 9.622019619081415, 120283.27703876526, -24959.99963019983, 470.9433837372939, 0.0, 8.693333333332795
6, 2, 0.0, 5.416269310901322, 9504.802532163118, -8319.999875166179, 156.98112780577216, 0.0, 11.786666666667202
7, 8, 0.0, 7.622049179717367, 102311.87164052663, -33279.999501475504, 627.9245113493924, 0.0, 5.866666666666692
8, 8, 0.0, 6.340693649748864, 65025.17129431272, -33279.99950153122, 627.9245108522376, 0.0, 5.866666666666692
9, 3, 0.0, 8.413709477119468, 46941.853524318, -12479.999814549863, 235.4716916497096, 0.0, 11.013333333333064
10, 6, 0.0, 8.450250160533706, 94663.0125877728, -24959.999626785357, 470.94338362945854, 0.0, 8.693333333332795
11, 3, 0.0, 11.474846374727475, 80399.8091804931, -12479.999816920958, 235.47169177476476, 0.0, 11.013333333333064
12, 8, 0.0, 7.647286665237465, 103044.45623018646, -33279.99950718258, 627.9245115086545, 0.0, 11.466666666666688
14, 9, 0.0, 6.733702720225315, 86619.26092071655, -37439.99943895616, 706.415075093385, 0.0, 11.339999999999844
15, 15, 0.0, 5.0, 53938.94796111459, -62399.99905769549, 1177.3584585534818, 0.0, 3.9666666666666632
16, 10, 0.0, 5.0, 33999.937359743126, -41599.99937932505, 784.9056391522467, 0.0, 9.133333333333319
17, 2, 0.0, 7.065539913624787, 21481.269359827755, -8319.999875264442, 156.98112785236927, 0.0, 11.786666666667202
18, 2, 0.0, 14.592532181918033, 76337.80751650699, -8319.9998754166, 156.98112783223138, 0.0, 11.786666666667202
19, 2, 0.0, 12.350250175981941, 59985.39397083234, -8319.99987519352, 156.9811278323598, 0.0, 11.786666666667202
20, 2, 0.0, 9.602534690170586, 39959.72691271586, -8319.999874895297, 156.98112782247662, 0.0, 11.786666666667202
21, 4, 0.0, 9.747398963953986, 82017.07388083797, -16639.999753624317, 313.9622557403606, 0.0, 10.239999999999094
22, 11, 0.0, 10.04351100888244, 239637.43440254536, -45759.99931422591, 863.3962031183208, 0.0, 7.53999999999999
25, 2, 0.0, 7.378007031295537, 23754.29674428637, -8319.999874788791, 156.98112780430841, 0.0, 11.786666666667198
26, 2, 0.0, 8.836169303292506, 34374.49512293765, -8319.999875983529, 156.98112783163342, 0.0, 11.786666666667198
27, 4, 0.0, 5.0, 12987.857201277619, -16639.999756344587, 313.9622557911731, 0.0, 10.239999999999094
29, 2, 0.0, 5.728789372824229, 11767.810935216545, -8319.999874288562, 156.98112778362585, 0.0, 11.786666666667198
30, 12, 0.0, 7.13350478824062, 134782.84731279063, -49919.99924556176, 941.8867665357593, 0.0, 4.826666666666641
31, 17, 0.0, 5.793517459897011, 111090.10048448497, -70719.99893781815, 1334.339586721927, 0.0, 2.1133333333333315
32, 8, 0.0, 11.410729488278447, 212780.08733644712, -33279.99950750733, 627.9245113766838, 0.0, 6.720000000000017
33, 10, 0.0, 11.609088913503706, 274486.25639348855, -41599.99938537141, 784.9056393677764, 0.0, 6.466666666666661
34, 14, 0.0, 6.272375193817504, 114609.09140869993, -58239.99912754437, 1098.8678944560463, 0.0, 8.14666666666666
35, 6, 0.0, 9.392858688118833, 115269.34250640862, -24959.999622186704, 470.9433833260141, 0.0, 8.693333333332795
36, 4, 0.0, 7.920864164124841, 55405.63559728548, -16639.99975484035, 313.96225573304287, 0.0, 10.239999999999094
37, 8, 0.0, 8.364838466263926, 123983.50356129427, -33279.99950688153, 627.924511518588, 0.0, 7.09333333333335
38, 3, 0.0, 13.17904315253796, 99039.98695811855, -12479.999812457525, 235.47169163131892, 0.0, 11.013333333333064
39, 19, 0.0, 5.0, 70719.93198593613, -79039.99883733112, 1491.3207148362928, 0.0, 0.793333333333333
40, 8, 0.0, 7.8901681498873355, 110160.22712209655, -33279.999502998995, 627.9245114029355, 0.0, 8.586666666666682
